uid,target,NDCG@20,Recall@20,HitRate@20
919,1411,0.0,0.0,0.0
920,2598,0.0,0.0,0.0
923,730,0.0,0.0,0.0
929,3087,0.0,0.0,0.0
930,1806,0.0,0.0,0.0
931,34,0.0,0.0,0.0
933,384,0.0,0.0,0.0
937,2924,0.0,0.0,0.0
938,3038,0.0,0.0,0.0
939,2261,0.0,0.0,0.0
941,2884,0.0,0.0,0.0
942,2212,0.0,0.0,0.0
944,78,0.0,0.0,0.0
949,3129,0.0,0.0,0.0
950,2456,0.0,0.0,0.0
952,2361,0.0,0.0,0.0
953,2892,0.0,0.0,0.0
958,42,0.0,0.0,0.0
959,1898,0.0,0.0,0.0
963,329,0.0,0.0,0.0
967,1313,0.0,0.0,0.0
969,1883,0.0,0.0,0.0
971,478,0.0,0.0,0.0
975,2203,0.0,0.0,0.0
976,1794,0.0,0.0,0.0
977,1882,0.0,0.0,0.0
982,1951,0.0,0.0,0.0
983,3151,0.0,0.0,0.0
984,3255,0.0,0.0,0.0
991,126,0.0,0.0,0.0
992,189,0.0,0.0,0.0
994,208,0.0,0.0,0.0
997,1869,0.0,0.0,0.0
1000,2188,0.0,0.0,0.0
1004,237,0.0,0.0,0.0
1006,2343,1.0,1.0,1.0
1007,3181,0.0,0.0,0.0
1012,332,0.0,0.0,0.0
1013,1005,0.0,0.0,0.0
1021,270,0.0,0.0,0.0
1027,2848,0.0,0.0,0.0
1028,2868,0.0,0.0,0.0
1036,2923,0.0,0.0,0.0
1041,2816,0.0,0.0,0.0
1043,1898,0.0,0.0,0.0
1044,2514,0.0,0.0,0.0
1047,2853,0.0,0.0,0.0
1053,2629,0.0,0.0,0.0
1054,138,0.0,0.0,0.0
1055,345,0.0,0.0,0.0
1056,3113,0.0,0.0,0.0
1059,3184,0.0,0.0,0.0
1063,3121,0.0,0.0,0.0
1065,1821,0.0,0.0,0.0
1069,3213,0.0,0.0,0.0
1070,1235,0.0,0.0,0.0
1073,2061,0.0,0.0,0.0
1074,2755,0.0,0.0,0.0
1077,334,0.0,0.0,0.0
1079,1351,0.0,0.0,0.0
1088,1425,0.0,0.0,0.0
1091,1678,0.0,0.0,0.0
1093,1324,0.0,0.0,0.0
1094,1060,0.0,0.0,0.0
1101,32,0.0,0.0,0.0
1102,1011,0.0,0.0,0.0
1106,3153,0.0,0.0,0.0
1111,219,0.0,0.0,0.0
1112,2080,0.0,0.0,0.0
1115,3021,0.0,0.0,0.0
1116,1040,0.0,0.0,0.0
1118,1935,0.0,0.0,0.0
1119,2203,0.0,0.0,0.0
1125,1019,0.0,0.0,0.0
1126,3035,0.0,0.0,0.0
1128,953,0.26264953503719357,1.0,1.0
1132,1878,0.0,0.0,0.0
1133,1601,0.0,0.0,0.0
1136,3253,0.0,0.0,0.0
1137,1278,0.0,0.0,0.0
1140,749,0.0,0.0,0.0
1144,2472,0.0,0.0,0.0
1145,2445,0.0,0.0,0.0
1146,2909,0.0,0.0,0.0
1147,913,0.0,0.0,0.0
1148,891,0.0,0.0,0.0
1150,3037,0.0,0.0,0.0
1151,531,0.43067655807339306,1.0,1.0
1157,284,0.0,0.0,0.0
1158,1481,0.0,0.0,0.0
1159,3121,0.0,0.0,0.0
1164,2065,0.0,0.0,0.0
1165,1239,0.0,0.0,0.0
1173,3259,0.0,0.0,0.0
1176,1473,0.0,0.0,0.0
1177,3190,0.0,0.0,0.0
1180,476,0.0,0.0,0.0
1182,2165,0.0,0.0,0.0
1183,1935,0.0,0.0,0.0
1185,2152,0.0,0.0,0.0
1189,1596,0.0,0.0,0.0
1190,2847,0.0,0.0,0.0
1193,1727,0.0,0.0,0.0
1194,660,0.0,0.0,0.0
1195,1413,0.0,0.0,0.0
1196,969,0.25,1.0,1.0
1198,958,0.0,0.0,0.0
1199,3121,0.0,0.0,0.0
1207,2745,0.0,0.0,0.0
1208,1573,0.0,0.0,0.0
1210,886,0.5,1.0,1.0
1212,974,0.0,0.0,0.0
1215,3092,0.0,0.0,0.0
1217,1885,0.0,0.0,0.0
1226,3175,0.0,0.0,0.0
1228,2212,0.0,0.0,0.0
1229,1132,0.0,0.0,0.0
1232,1023,1.0,1.0,1.0
1233,1843,0.0,0.0,0.0
1236,2767,0.0,0.0,0.0
1239,3126,0.0,0.0,0.0
1240,2876,0.0,0.0,0.0
1244,2893,0.0,0.0,0.0
1246,3151,0.0,0.0,0.0
1248,3034,0.0,0.0,0.0
1249,3218,0.0,0.0,0.0
1256,1041,0.0,0.0,0.0
1260,441,0.0,0.0,0.0
1261,3149,0.0,0.0,0.0
1262,3083,0.0,0.0,0.0
1264,989,0.0,0.0,0.0
1269,3087,0.0,0.0,0.0
1271,601,0.0,0.0,0.0
1272,2824,0.0,0.0,0.0
1274,2420,0.0,0.0,0.0
1275,1756,0.0,0.0,0.0
1276,284,0.0,0.0,0.0
1280,3209,0.0,0.0,0.0
1286,2990,0.0,0.0,0.0
1287,2912,0.0,0.0,0.0
1291,3121,0.0,0.0,0.0
1292,1933,0.0,0.0,0.0
1293,2859,0.0,0.0,0.0
