uid,target,NDCG@20,Recall@20,HitRate@20
4851,53250,0.0,0.0,0.0
4889,54649,0.0,0.0,0.0
5076,77886,0.0,0.0,0.0
5145,46547,0.0,0.0,0.0
5279,65724,0.0,0.0,0.0
5546,53699,0.0,0.0,0.0
5746,77842,0.0,0.0,0.0
5757,37869,0.0,0.0,0.0
5794,18888,0.0,0.0,0.0
5953,30873,0.0,0.0,0.0
6181,74496,0.0,0.0,0.0
6251,78597,0.0,0.0,0.0
6264,31915,0.0,0.0,0.0
6326,49332,0.0,0.0,0.0
6479,41357,0.0,0.0,0.0
6601,79148,0.0,0.0,0.0
6627,49074,0.0,0.0,0.0
6649,52155,0.0,0.0,0.0
6700,63293,0.0,0.0,0.0
6714,54697,0.0,0.0,0.0
6714,76355,0.0,0.0,0.0
6753,40419,0.0,0.0,0.0
6912,47406,0.0,0.0,0.0
6916,25520,0.0,0.0,0.0
7043,75879,0.0,0.0,0.0
7330,47362,0.0,0.0,0.0
7506,78838,0.0,0.0,0.0
7520,11889,0.0,0.0,0.0
7588,56034,0.0,0.0,0.0
7646,16312,0.0,0.0,0.0
7745,77859,0.0,0.0,0.0
7757,16460,0.0,0.0,0.0
7839,78190,0.0,0.0,0.0
7937,30580,0.0,0.0,0.0
8163,54617,0.0,0.0,0.0
8224,62265,0.0,0.0,0.0
8267,77360,0.0,0.0,0.0
8303,63864,0.0,0.0,0.0
8655,58278,0.0,0.0,0.0
8713,8628,0.0,0.0,0.0
8792,26520,0.0,0.0,0.0
8844,12862,0.0,0.0,0.0
8925,2108,0.0,0.0,0.0
8959,78646,0.0,0.0,0.0
8983,54567,0.0,0.0,0.0
9071,54130,0.0,0.0,0.0
9087,72729,0.0,0.0,0.0
9111,54696,0.0,0.0,0.0
9113,78054,0.0,0.0,0.0
9113,79210,0.0,0.0,0.0
9221,62348,0.0,0.0,0.0
9233,52437,0.0,0.0,0.0
9233,78800,0.0,0.0,0.0
9244,53446,0.0,0.0,0.0
9322,74594,0.0,0.0,0.0
9364,77919,0.0,0.0,0.0
9478,60102,0.0,0.0,0.0
9554,47355,0.0,0.0,0.0
9574,15901,0.0,0.0,0.0
9592,77405,0.0,0.0,0.0
9671,75093,0.0,0.0,0.0
9836,53379,0.0,0.0,0.0
9892,77082,0.0,0.0,0.0
9977,79053,0.0,0.0,0.0
10148,37969,0.0,0.0,0.0
10236,64771,0.0,0.0,0.0
10242,59408,0.0,0.0,0.0
10242,53182,0.0,0.0,0.0
10383,34920,0.0,0.0,0.0
10425,15571,0.0,0.0,0.0
10436,27880,0.0,0.0,0.0
10489,64496,0.0,0.0,0.0
10494,30558,0.0,0.0,0.0
10568,5748,0.0,0.0,0.0
10621,50647,0.0,0.0,0.0
10693,78582,0.0,0.0,0.0
11026,63337,0.0,0.0,0.0
11302,57139,0.0,0.0,0.0
11482,14161,0.0,0.0,0.0
11577,19619,0.0,0.0,0.0
11637,47957,0.0,0.0,0.0
11654,35507,0.0,0.0,0.0
11671,51290,0.0,0.0,0.0
11671,60798,0.0,0.0,0.0
11682,50800,0.0,0.0,0.0
11706,54456,0.0,0.0,0.0
11721,73105,0.0,0.0,0.0
11722,11452,0.0,0.0,0.0
11797,59782,0.0,0.0,0.0
11932,49633,0.0,0.0,0.0
11986,34056,0.0,0.0,0.0
12081,40201,0.0,0.0,0.0
12278,39246,0.0,0.0,0.0
12285,78827,0.0,0.0,0.0
12352,73954,0.0,0.0,0.0
12549,78989,0.0,0.0,0.0
12699,79097,0.0,0.0,0.0
12702,53392,0.0,0.0,0.0
12865,13094,0.0,0.0,0.0
12994,57750,0.0,0.0,0.0
13116,12487,0.0,0.0,0.0
13187,78145,0.0,0.0,0.0
13273,50840,0.0,0.0,0.0
13305,19701,0.0,0.0,0.0
13432,78679,0.0,0.0,0.0
13483,70089,0.0,0.0,0.0
13526,1891,0.0,0.0,0.0
13595,49843,0.0,0.0,0.0
13643,16552,0.0,0.0,0.0
13689,49919,0.0,0.0,0.0
13696,53306,0.0,0.0,0.0
13792,9909,0.0,0.0,0.0
13824,48173,0.0,0.0,0.0
