uid,input_tokens,output_tokens,latency_seconds
16133,278.0,215.0,2.4222147464752197
16150,186.0,206.0,2.4876108169555664
16251,228.0,204.0,5.370484113693237
16313,201.0,212.0,3.187201499938965
16340,134.0,7.0,5.823272705078125
16470,207.0,214.0,2.5201058387756348
16484,224.0,202.0,2.694608211517334
16507,238.0,233.0,3.0893514156341553
16618,149.0,211.0,2.577488899230957
16632,481.0,197.0,3.100332498550415
16666,442.0,232.0,2.99762225151062
16687,172.0,199.0,2.6913065910339355
16715,216.0,193.0,2.5362093448638916
16745,188.0,194.0,2.3767507076263428
16776,409.0,205.0,2.742016553878784
16807,238.0,208.0,2.5480222702026367
16848,467.0,197.0,2.43289852142334
16893,208.0,214.0,3.2027666568756104
16930,489.0,194.0,2.7132763862609863
16931,509.0,210.0,2.9007232189178467
16949,457.0,192.0,3.2409770488739014
17023,163.0,217.0,2.856811761856079
17031,250.0,190.0,3.226473808288574
17052,228.0,182.0,2.4049251079559326
17098,364.0,223.0,3.0476701259613037
17130,169.0,204.0,2.8630311489105225
17143,410.0,204.0,2.6283836364746094
17162,358.0,208.0,2.7499356269836426
17198,184.0,202.0,2.8966174125671387
17219,451.0,205.0,2.54243803024292
17245,465.0,190.0,2.8592820167541504
17250,141.0,190.0,2.8091795444488525
17291,490.0,204.0,3.859259843826294
17342,524.0,214.0,3.1645305156707764
17356,442.0,222.0,3.2110164165496826
17449,134.0,7.0,0.8737883567810059
17477,194.0,192.0,2.2542755603790283
17485,154.0,196.0,3.357106924057007
17508,182.0,198.0,2.8208529949188232
17530,354.0,212.0,3.1481850147247314
17649,134.0,7.0,1.2595977783203125
17654,458.0,201.0,2.6222286224365234
17705,228.0,182.0,2.5597615242004395
17709,144.0,183.0,2.4423155784606934
17719,429.0,195.0,2.635834217071533
17830,134.0,7.0,0.8638193607330322
18004,400.0,209.0,2.8009021282196045
18069,264.0,205.0,2.7212204933166504
18082,452.0,205.0,3.008009433746338
18147,489.0,195.0,2.284532070159912
18172,448.0,221.0,3.2967255115509033
18218,239.0,205.0,2.928041696548462
18264,236.0,209.0,2.8928639888763428
18382,147.0,206.0,2.867673635482788
18426,316.0,208.0,2.492130756378174
18432,421.0,203.0,2.613022565841675
18511,205.0,193.0,2.345987558364868
18526,160.0,201.0,2.5814642906188965
18529,215.0,204.0,2.5836706161499023
18650,162.0,217.0,2.9533910751342773
18673,152.0,198.0,2.4841976165771484
18823,245.0,194.0,2.6363847255706787
18837,139.0,195.0,2.4413721561431885
18862,302.0,233.0,2.954318046569824
18928,596.0,217.0,2.8900105953216553
19031,410.0,228.0,3.0171313285827637
19088,395.0,209.0,2.797516107559204
19100,170.0,207.0,2.9172279834747314
